,,,"Labor Force Data by County, 2020 Annual Averages",,,,,
,,,,,,,,
,State,County,,,,,,
,FIPS,FIPS,,,Labor,,Une,mployed
LAUS Code,Code,Code,County Name/State Abbreviation,Year,Force,Employed,Level,Rate
,,,,,,,,
CN0100100000000,1,1,"Autauga County, AL",2020,"25,838","24,576","1,262",4.9
CN0100300000000,1,3,"Baldwin County, AL",2020,"96,763","91,338","5,425",5.6
CN0100500000000,1,5,"Barbour County, AL",2020,"8,587","7,982",605,7
CN0100700000000,1,7,"Bibb County, AL",2020,"8,640","8,067",573,6.6
CN0100900000000,1,9,"Blount County, AL",2020,"24,661","23,653","1,008",4.1
CN0101100000000,1,11,"Bullock County, AL",2020,"4,818","4,553",265,5.5
CN0101300000000,1,13,"Butler County, AL",2020,"9,056","8,255",801,8.8
CN0101500000000,1,15,"Calhoun County, AL",2020,"46,240","42,980","3,260",7.1
CN0101700000000,1,17,"Chambers County, AL",2020,"15,865","14,787","1,078",6.8
CN0101900000000,1,19,"Cherokee County, AL",2020,"11,513","10,983",530,4.6
CN0102100000000,1,21,"Chilton County, AL",2020,"19,592","18,618",974,5
CN0102300000000,1,23,"Choctaw County, AL",2020,"4,621","4,313",308,6.7
CN0102500000000,1,25,"Clarke County, AL",2020,"7,769","7,069",700,9
CN0102700000000,1,27,"Clay County, AL",2020,"6,083","5,838",245,4
CN0102900000000,1,29,"Cleburne County, AL",2020,"5,737","5,475",262,4.6
CN0103100000000,1,31,"Coffee County, AL",2020,"21,502","20,558",944,4.4
CN0103300000000,1,33,"Colbert County, AL",2020,"23,558","22,008","1,550",6.6
CN0103500000000,1,35,"Conecuh County, AL",2020,"4,529","4,198",331,7.3
CN0103700000000,1,37,"Coosa County, AL",2020,"4,392","4,150",242,5.5
CN0103900000000,1,39,"Covington County, AL",2020,"15,172","14,434",738,4.9
CN0104100000000,1,41,"Crenshaw County, AL",2020,"6,253","5,896",357,5.7
CN0104300000000,1,43,"Cullman County, AL",2020,"38,310","36,660","1,650",4.3
CN0104500000000,1,45,"Dale County, AL",2020,"20,710","19,701","1,009",4.9
CN0104700000000,1,47,"Dallas County, AL",2020,"14,619","13,049","1,570",10.7
CN0104900000000,1,49,"DeKalb County, AL",2020,"30,736","29,348","1,388",4.5
CN0105100000000,1,51,"Elmore County, AL",2020,"36,620","34,843","1,777",4.9
CN0105300000000,1,53,"Escambia County, AL",2020,"14,453","13,589",864,6
CN0105500000000,1,55,"Etowah County, AL",2020,"40,724","37,598","3,126",7.7
CN0105700000000,1,57,"Fayette County, AL",2020,"6,562","6,236",326,5
CN0105900000000,1,59,"Franklin County, AL",2020,"14,424","13,786",638,4.4
CN0106100000000,1,61,"Geneva County, AL",2020,"10,835","10,391",444,4.1
CN0106300000000,1,63,"Greene County, AL",2020,"3,015","2,687",328,10.9
CN0106500000000,1,65,"Hale County, AL",2020,"6,075","5,503",572,9.4
CN0106700000000,1,67,"Henry County, AL",2020,"6,814","6,487",327,4.8
CN0106900000000,1,69,"Houston County, AL",2020,"46,358","43,861","2,497",5.4
CN0107100000000,1,71,"Jackson County, AL",2020,"22,840","21,637","1,203",5.3
CN0107300000000,1,73,"Jefferson County, AL",2020,"315,957","296,282","19,675",6.2
CN0107500000000,1,75,"Lamar County, AL",2020,"5,730","5,452",278,4.9
CN0107700000000,1,77,"Lauderdale County, AL",2020,"41,931","39,610","2,321",5.5
CN0107900000000,1,79,"Lawrence County, AL",2020,"14,363","13,660",703,4.9
CN0108100000000,1,81,"Lee County, AL",2020,"75,564","71,629","3,935",5.2
CN0108300000000,1,83,"Limestone County, AL",2020,"44,624","42,724","1,900",4.3
CN0108500000000,1,85,"Lowndes County, AL",2020,"3,661","3,173",488,13.3
CN0108700000000,1,87,"Macon County, AL",2020,"8,063","7,290",773,9.6
CN0108900000000,1,89,"Madison County, AL",2020,"187,247","178,579","8,668",4.6
CN0109100000000,1,91,"Marengo County, AL",2020,"7,766","7,281",485,6.2
CN0109300000000,1,93,"Marion County, AL",2020,"13,034","12,373",661,5.1
