"year","STATE","SEN","GOV"
1998,"7","R","R"
1998,"7","R","R"
1998,"7","R","R"
1998,"7","R","R"
1998,"7","D","D"
1998,"7","R","R"
1998,"7","D","D"
1998,"7","R","D"
1998,"7","D","R"
1998,"7","D","D"
1998,"7","R","R"
1998,"7","D","D"
1998,"7","D","R"
1998,"7","R","R"
1998,"7","R","R"
1998,"7","D","R"
1998,"7","D","R"
1998,"7","R","R"
1998,"7",NA,"R"
1998,"7","D","R"
1998,"7","D","D"
1998,"7","R","R"
1998,"7","R","R"
1998,"7","R","R"
1998,"7","R","R"
1998,"7",NA,"R"
1998,"7","R","R"
1998,"7","D","R"
1998,"7","R","D"
1998,"7","D","D"
1998,"7","D",NA
1998,"7","R","D"
1998,"7","D","D"
1998,"7","D","D"
1998,"7","D","R"
1998,"7","D","D"
1998,"7","D","R"
1998,"7","D","R"
1998,"7","D","R"
1998,"7","R","R"
1998,"7","D","R"
1998,"7","D","R"
1998,"7","D","D"
1998,"7","D","D"
1998,"7","D","R"
1998,"7","D","D"
1998,"7",NA,"R"
1998,"7","D","D"
1998,"7","R","R"
1998,"7","D","R"
1998,"7","R","R"
1998,"7","R","R"
1998,"7","D","R"
1998,"7","R","R"
1998,"7","D","R"
1998,"7","D","D"
1998,"7","R","R"
1998,"7","R","R"
1998,"7","R","R"
1998,"7","R","R"
1998,"7","D","R"
1998,"7","R","R"
1998,"7","D","R"
1998,"7","D","R"
1998,"7","D","R"
1998,"7","R","D"
1998,"7","R","R"
1998,"7","D","Other"
1998,"7","D","D"
1998,"7","D","D"
1998,"7","D","D"
1998,"7",NA,"R"
1998,"7","R","R"
1998,"20",NA,"R"
1998,"20",NA,"D"
1998,"20",NA,"D"
1998,"20",NA,"Other"
1998,"20",NA,"Other"
1998,"20",NA,"Other"
1998,"20",NA,"Other"
1998,"20",NA,"D"
1998,"20",NA,"D"
1998,"20",NA,"R"
1998,"20",NA,"Other"
1998,"20",NA,"Other"
1998,"20",NA,"Other"
1998,"20",NA,"D"
1998,"20",NA,"R"
1998,"20",NA,"Other"
1998,"20",NA,"Other"
1998,"20",NA,"Other"
1998,"20",NA,"Other"
1998,"20",NA,"D"
1998,"20",NA,"R"
1998,"20",NA,"R"
1998,"20",NA,"Other"
1998,"20",NA,"Other"
1998,"20",NA,"R"
1998,"20",NA,"Other"
1998,"20",NA,"D"
1998,"20",NA,"Other"
1998,"20",NA,"Other"
1998,"20",NA,"D"
1998,"21","D","D"
1998,"21","D","R"
1998,"21","R","R"
1998,"21","D","R"
1998,"21","D","D"
1998,"21","R","R"
1998,"21","R","R"
1998,"21","R","R"
