"year","STATE","SEN","GOV"
1990,"7",NA,"D"
1990,"7",NA,"D"
1990,"7",NA,"D"
1990,"7",NA,"Other"
1990,"7",NA,"D"
1990,"7",NA,"Other"
1990,"7",NA,"R"
1990,"7",NA,"R"
1990,"7",NA,"R"
1990,"7",NA,"R"
1990,"7",NA,"R"
1990,"7",NA,"R"
1990,"7",NA,"D"
1990,"7",NA,"R"
1990,"7",NA,"D"
1990,"7",NA,"Other"
1990,"7",NA,"R"
1990,"7",NA,"D"
1990,"7",NA,"Other"
1990,"7",NA,"R"
1990,"7",NA,"R"
1990,"7",NA,"R"
1990,"7",NA,"D"
1990,"7",NA,"Other"
1990,"7",NA,"D"
1990,"7",NA,"D"
1990,"7",NA,"Other"
1990,"7",NA,"D"
1990,"7",NA,"Other"
1990,"7",NA,"R"
1990,"7",NA,"D"
1990,"7",NA,"D"
1990,"7",NA,"Other"
1990,"7",NA,"Other"
1990,"7",NA,"D"
1990,"7",NA,"R"
1990,"7",NA,"R"
1990,"7",NA,"R"
1990,"7",NA,"Other"
1990,"7",NA,"D"
1990,"7",NA,"R"
1990,"7",NA,"Other"
1990,"7",NA,"R"
1990,"7",NA,"D"
1990,"7",NA,"R"
1990,"7",NA,"R"
1990,"7",NA,"R"
1990,"7",NA,"R"
1990,"7",NA,"R"
1990,"7",NA,"R"
1990,"7",NA,"R"
1990,"7",NA,"Other"
1990,"7",NA,"R"
1990,"7",NA,"R"
1990,"7",NA,"R"
1990,"7",NA,"Other"
1990,"7",NA,"R"
1990,"7",NA,"R"
1990,"7",NA,"R"
1990,"7",NA,"Other"
1990,"7",NA,"Other"
1990,"7",NA,"Other"
1990,"7",NA,"R"
1990,"7",NA,"R"
1990,"7",NA,"R"
1990,"7",NA,"Other"
1990,"7",NA,"Other"
1990,"7",NA,"R"
1990,"7",NA,"D"
1990,"7",NA,"Other"
1990,"7",NA,"Other"
1990,"7",NA,"Other"
1990,"7",NA,"Other"
1990,"7",NA,"Other"
1990,"7",NA,"Other"
1990,"7",NA,"Other"
1990,"7",NA,"R"
1990,"7",NA,"Other"
1990,"7",NA,"R"
1990,"7",NA,"D"
1990,"7",NA,"Other"
1990,"7",NA,"D"
1990,"7",NA,"D"
1990,"7",NA,"Other"
1990,"7",NA,"Other"
1990,"7",NA,"R"
1990,"7",NA,"Other"
1990,"7",NA,"Other"
1990,"7",NA,"Other"
1990,"7",NA,"Other"
1990,"7",NA,"D"
1990,"7",NA,"R"
1990,"7",NA,"Other"
1990,"7",NA,"D"
1990,"7",NA,"R"
1990,"7",NA,"R"
1990,"7",NA,"Other"
1990,"7",NA,"Other"
1990,"7",NA,"Other"
1990,"7",NA,"Other"
1990,"7",NA,"Other"
1990,"7",NA,"R"
1990,"7",NA,"Other"
1990,"7",NA,"Other"
1990,"7",NA,"D"
1990,"7",NA,"Other"
1990,"7",NA,"D"
1990,"7",NA,"R"
1990,"7",NA,"R"
1990,"7",NA,"Other"
1990,"7",NA,"Other"
1990,"7",NA,"D"
1990,"7",NA,"Other"
1990,"7",NA,"Other"
1990,"7",NA,"Other"
1990,"7",NA,"R"
1990,"7",NA,"R"
1990,"7",NA,"Other"
1990,"7",NA,"Other"
1990,"7",NA,"Other"
1990,"7",NA,"Other"
1990,"7",NA,"Other"
1990,"7",NA,"Other"
1990,"7",NA,"Other"
1990,"7",NA,"D"
1990,"7",NA,"Other"
1990,"7",NA,"Other"
1990,"7",NA,"Other"
1990,"7",NA,"Other"
1990,"7",NA,"Other"
1990,"7",NA,"Other"
1990,"7",NA,"Other"
1990,"7",NA,"R"
1990,"7",NA,"Other"
1990,"7",NA,"R"
1990,"7",NA,"R"
1990,"7",NA,"Other"
1990,"7",NA,"R"
1990,"7",NA,"Other"
1990,"7",NA,"R"
1990,"7",NA,"Other"
1990,"7",NA,"Other"
1990,"7",NA,"Other"
1990,"7",NA,"Other"
1990,"7",NA,"Other"
1990,"7",NA,"Other"
1990,"7",NA,"Other"
1990,"7",NA,"Other"
1990,"7",NA,"D"
1990,"7",NA,"R"
1990,"7",NA,"D"
1990,"7",NA,"D"
1990,"7",NA,"D"
1990,"7",NA,"D"
1990,"7",NA,"D"
1990,"7",NA,"R"
1990,"7",NA,"D"
1990,"7",NA,"Other"
1990,"7",NA,"Other"
1990,"7",NA,"Other"
1990,"7",NA,"D"
1990,"7",NA,"D"
1990,"7",NA,"D"
1990,"7",NA,"Other"
1990,"7",NA,"D"
1990,"7",NA,"Other"
1990,"7",NA,"Other"
1990,"7",NA,"D"
1990,"7",NA,"D"
1990,"7",NA,"D"
1990,"7",NA,"R"
1990,"7",NA,"D"
1990,"7",NA,"R"
1990,"7",NA,"Other"
1990,"7",NA,"Other"
1990,"7",NA,"R"
1990,"7",NA,"R"
1990,"7",NA,"D"
