"year","STATE","SEN","GOV"
1996,"7",NA,NA
1996,"7",NA,NA
1996,"7",NA,NA
1996,"7",NA,NA
1996,"7",NA,NA
1996,"7",NA,NA
1996,"7",NA,NA
1996,"7",NA,NA
1996,"7",NA,NA
1996,"7",NA,NA
1996,"7",NA,NA
1996,"7",NA,NA
1996,"7",NA,NA
1996,"7",NA,NA
1996,"7",NA,NA
1996,"7",NA,NA
1996,"7",NA,NA
1996,"7",NA,NA
1996,"7",NA,NA
1996,"7",NA,NA
1996,"7",NA,NA
1996,"7",NA,NA
1996,"7",NA,NA
1996,"7",NA,NA
1996,"7",NA,NA
1996,"7",NA,NA
1996,"7",NA,NA
1996,"7",NA,NA
1996,"7",NA,NA
1996,"7",NA,NA
1996,"7",NA,NA
1996,"7",NA,NA
1996,"7",NA,NA
1996,"7",NA,NA
1996,"7",NA,NA
1996,"7",NA,NA
1996,"7",NA,NA
1996,"7",NA,NA
1996,"7",NA,NA
1996,"7",NA,NA
1996,"7",NA,NA
1996,"7",NA,NA
1996,"7",NA,NA
1996,"7",NA,NA
1996,"7",NA,NA
1996,"7",NA,NA
1996,"7",NA,NA
1996,"7",NA,NA
1996,"7",NA,NA
1996,"7",NA,NA
1996,"7",NA,NA
1996,"7",NA,NA
1996,"7",NA,NA
1996,"7",NA,NA
1996,"7",NA,NA
1996,"7",NA,NA
1996,"7",NA,NA
1996,"7",NA,NA
1996,"7",NA,NA
1996,"7",NA,NA
1996,"7",NA,NA
1996,"7",NA,NA
1996,"7",NA,NA
1996,"7",NA,NA
1996,"7",NA,NA
1996,"7",NA,NA
1996,"7",NA,NA
1996,"7",NA,NA
1996,"7",NA,NA
1996,"7",NA,NA
1996,"7",NA,NA
1996,"7",NA,NA
1996,"7",NA,NA
1996,"7",NA,NA
1996,"7",NA,NA
1996,"7",NA,NA
1996,"7",NA,NA
1996,"7",NA,NA
1996,"7",NA,NA
1996,"7",NA,NA
1996,"7",NA,NA
1996,"7",NA,NA
1996,"7",NA,NA
1996,"7",NA,NA
1996,"7",NA,NA
1996,"7",NA,NA
1996,"7",NA,NA
1996,"7",NA,NA
1996,"7",NA,NA
1996,"7",NA,NA
1996,"7",NA,NA
1996,"7",NA,NA
1996,"7",NA,NA
1996,"7",NA,NA
1996,"7",NA,NA
1996,"7",NA,NA
1996,"7",NA,NA
1996,"7",NA,NA
1996,"7",NA,NA
1996,"7",NA,NA
1996,"7",NA,NA
1996,"7",NA,NA
1996,"7",NA,NA
1996,"7",NA,NA
1996,"7",NA,NA
1996,"7",NA,NA
1996,"7",NA,NA
1996,"7",NA,NA
1996,"7",NA,NA
1996,"7",NA,NA
1996,"8","D",NA
1996,"8","D",NA
1996,"8","D",NA
1996,"8","R",NA
1996,"8","D",NA
1996,"8","D",NA
1996,"8","D",NA
1996,"8","D",NA
1996,"8","D",NA
1996,"8","D",NA
1996,"8","R",NA
1996,"8","D",NA
1996,"8","D",NA
1996,"8","R",NA
1996,"8","D",NA
1996,"8","R",NA
1996,"8","D",NA
1996,"8","R",NA
1996,"8","D",NA
1996,"8","D",NA
1996,"8","D",NA
1996,"8",NA,NA
1996,"8","R",NA
1996,"8","D",NA
1996,"8","D",NA
1996,"8","D",NA
1996,"8","R",NA
1996,"8","R",NA
1996,"8","R",NA
1996,"8","D",NA
1996,"8","D",NA
1996,"8","D",NA
1996,"8",NA,NA
1996,"8","D",NA
1996,"20","R",NA
1996,"20","D",NA
1996,"20","Other",NA
1996,"20","D",NA
1996,"20","D",NA
1996,"20","D",NA
1996,"20","R",NA
1996,"20","R",NA
1996,"20","D",NA
1996,"20","D",NA
1996,"20","R",NA
1996,"20","D",NA
1996,"20","D",NA
1996,"20","D",NA
1996,"20","D",NA
1996,"21",NA,NA
1996,"21",NA,NA
1996,"21",NA,NA
1996,"21",NA,NA
1996,"21",NA,NA
1996,"21",NA,NA
1996,"21",NA,NA
1996,"21",NA,NA
1996,"21",NA,NA
1996,"21",NA,NA
1996,"21",NA,NA
1996,"21",NA,NA
1996,"21",NA,NA
1996,"21",NA,NA
1996,"21",NA,NA
1996,"21",NA,NA
1996,"21",NA,NA
1996,"21",NA,NA
1996,"21",NA,NA
1996,"21",NA,NA
1996,"21",NA,NA
1996,"21",NA,NA
1996,"21",NA,NA
1996,"21",NA,NA
1996,"21",NA,NA
1996,"21",NA,NA
1996,"21",NA,NA
1996,"21",NA,NA
1996,"21",NA,NA
1996,"21",NA,NA
1996,"21",NA,NA
1996,"21",NA,NA
1996,"21",NA,NA
1996,"21",NA,NA
1996,"21",NA,NA
1996,"21",NA,NA
1996,"21",NA,NA
1996,"21",NA,NA
1996,"21",NA,NA
1996,"21",NA,NA
1996,"21",NA,NA
1996,"21",NA,NA
1996,"21",NA,NA
1996,"21",NA,NA
1996,"21",NA,NA
1996,"21",NA,NA
1996,"21",NA,NA
1996,"21",NA,NA
1996,"22","D",NA
1996,"22","R",NA
1996,"22","D",NA
1996,"22","D",NA
1996,"22","Other",NA
1996,"22","D",NA
1996,"22","R",NA
1996,"22","D",NA
1996,"22","D",NA
1996,"22","D",NA
1996,"22","R",NA
1996,"22","D",NA
1996,"22","D",NA
1996,"22","R",NA
1996,"22","D",NA
1996,"22","R",NA
1996,"22","R",NA
1996,"22","R",NA
1996,"22","R",NA
1996,"22","R",NA
1996,"22","R",NA
