SUMLEV,STATE,COUNTY,STNAME,CTYNAME,YEAR,AGEGRP,TOT_POP,TOT_MALE,TOT_FEMALE,WA_MALE,WA_FEMALE,BA_MALE,BA_FEMALE,IA_MALE,IA_FEMALE,AA_MALE,AA_FEMALE,NA_MALE,NA_FEMALE,TOM_MALE,TOM_FEMALE,NH_MALE,NH_FEMALE,NHWA_MALE,NHWA_FEMALE,NHBA_MALE,NHBA_FEMALE,NHIA_MALE,NHIA_FEMALE,NHAA_MALE,NHAA_FEMALE,NHNA_MALE,NHNA_FEMALE,NHTOM_MALE,NHTOM_FEMALE,H_MALE,H_FEMALE,HWA_MALE,HWA_FEMALE,HBA_MALE,HBA_FEMALE,HIA_MALE,HIA_FEMALE,HAA_MALE,HAA_FEMALE,HNA_MALE,HNA_FEMALE,HTOM_MALE,HTOM_FEMALE
050,32,001,Nevada,Churchill County,1,0,357,202,155,176,134,4,7,7,4,4,6,1,0,10,4,172,128,151,108,3,7,6,3,3,6,1,0,8,4,30,27,25,26,1,0,1,1,1,0,0,0,2,0
050,32,001,Nevada,Churchill County,1,1,1563,789,774,667,649,16,18,43,41,17,18,3,4,43,44,664,653,552,544,16,15,39,36,15,14,2,4,40,40,125,121,115,105,0,3,4,5,2,4,1,0,3,4
050,32,001,Nevada,Churchill County,1,2,1948,1011,937,871,796,11,19,55,59,27,25,5,3,42,35,875,819,749,691,11,18,47,54,24,23,5,3,39,30,136,118,122,105,0,1,8,5,3,2,0,0,3,5
050,32,001,Nevada,Churchill County,1,3,1973,1002,971,836,805,19,14,66,79,30,25,1,3,50,45,909,861,762,716,18,13,54,70,27,21,1,3,47,38,93,110,74,89,1,1,12,9,3,4,0,0,3,7
050,32,001,Nevada,Churchill County,1,4,1708,853,855,731,726,13,19,53,64,26,18,0,1,30,27,750,781,642,658,11,19,47,62,23,15,0,1,27,26,103,74,89,68,2,0,6,2,3,3,0,0,3,1
050,32,001,Nevada,Churchill County,1,5,1334,650,684,530,581,37,23,36,40,13,15,5,3,29,22,526,577,417,482,35,21,29,39,13,14,4,2,28,19,124,107,113,99,2,2,7,1,0,1,1,1,1,3
050,32,001,Nevada,Churchill County,1,6,1603,847,756,733,663,34,17,35,32,30,24,1,2,14,18,721,651,613,561,34,15,34,32,28,23,1,2,11,18,126,105,120,102,0,2,1,0,2,1,0,0,3,0
050,32,001,Nevada,Churchill County,1,7,1619,822,797,742,695,17,11,30,42,17,29,2,5,14,15,739,731,666,635,16,11,27,40,16,28,1,5,13,12,83,66,76,60,1,0,3,2,1,1,1,0,1,3
050,32,001,Nevada,Churchill County,1,8,1842,946,896,854,759,19,17,35,46,22,51,3,6,13,17,879,830,792,703,19,16,32,41,21,50,3,5,12,15,67,66,62,56,0,1,3,5,1,1,0,1,1,2
050,32,001,Nevada,Churchill County,1,9,1823,880,943,789,812,16,15,38,56,21,45,4,0,12,15,816,884,730,760,16,15,36,51,21,43,3,0,10,15,64,59,59,52,0,0,2,5,0,2,1,0,2,0
050,32,001,Nevada,Churchill County,1,10,1628,829,799,762,711,12,5,33,39,15,35,1,0,6,9,785,763,721,678,12,5,30,36,15,35,1,0,6,9,44,36,41,33,0,0,3,3,0,0,0,0,0,0
050,32,001,Nevada,Churchill County,1,11,1465,728,737,672,647,6,1,21,38,24,41,0,1,5,9,700,717,648,629,6,1,19,37,22,41,0,1,5,8,28,20,24,18,0,0,2,1,2,0,0,0,0,1
050,32,001,Nevada,Churchill County,1,12,1269,637,632,598,571,8,4,16,23,9,26,0,0,6,8,614,611,576,550,8,4,15,23,9,26,0,0,6,8,23,21,22,21,0,0,1,0,0,0,0,0,0,0
050,32,001,Nevada,Churchill County,1,13,987,516,471,479,430,5,5,20,17,5,12,2,0,5,7,497,458,461,417,5,5,19,17,5,12,2,0,5,7,19,13,18,13,0,0,1,0,0,0,0,0,0,0
050,32,001,Nevada,Churchill County,1,14,823,412,411,380,380,0,1,18,17,6,13,0,0,8,0,402,399,370,369,0,1,18,16,6,13,0,0,8,0,10,12,10,11,0,0,0,1,0,0,0,0,0,0
050,32,001,Nevada,Churchill County,1,15,779,364,415,347,379,2,1,7,21,5,10,1,0,2,4,355,406,339,371,2,1,6,20,5,10,1,0,2,4,9,9,8,8,0,0,1,1,0,0,0,0,0,0
050,32,001,Nevada,Churchill County,1,16,614,286,328,276,314,1,0,6,10,2,0,0,0,1,4,275,323,265,309,1,0,6,10,2,0,0,0,1,4,11,5,11,5,0,0,0,0,0,0,0,0,0,0
050,32,001,Nevada,Churchill County,1,17,360,156,204,153,195,1,0,1,8,1,0,0,0,0,1,153,200,150,191,1,0,1,8,1,0,0,0,0,1,3,4,3,4,0,0,0,0,0,0,0,0,0,0
050,32,001,Nevada,Churchill County,1,18,289,97,192,92,184,0,0,4,6,1,1,0,0,0,1,94,190,89,182,0,0,4,6,1,1,0,0,0,1,3,2,3,2,0,0,0,0,0,0,0,0,0,0
050,32,001,Nevada,Churchill County,1,99,23984,12027,11957,10688,10431,221,177,524,642,275,394,29,28,290,285,10926,10982,9693,9554,214,167,469,601,257,375,25,26,268,259,1101,975,995,877,7,10,55,41,18,19,4,2,22,26
050,32,001,Nevada,Churchill County,2,0,361,203,158,177,136,4,7,7,4,4,6,1,0,10,5,172,130,151,109,3,7,6,3,3,6,1,0,8,5,31,28,26,27,1,0,1,1,1,0,0,0,2,0
050,32,001,Nevada,Churchill County,2,1,1562,787,775,662,644,16,18,43,41,17,18,3,4,46,50,663,654,548,539,16,15,39,36,15,14,2,4,43,46,124,121,114,105,0,3,4,5,2,4,1,0,3,4
050,32,001,Nevada,Churchill County,2,2,1941,1005,936,865,792,11,19,55,59,27,25,5,3,42,38,869,818,743,687,11,18,47,54,24,23,5,3,39,33,136,118,122,105,0,1,8,5,3,2,0,0,3,5
050,32,001,Nevada,Churchill County,2,3,1984,1005,979,837,810,19,14,66,79,30,25,1,3,52,48,912,868,763,720,18,13,54,70,27,21,1,3,49,41,93,111,74,90,1,1,12,9,3,4,0,0,3,7
050,32,001,Nevada,Churchill County,2,4,1714,858,856,735,725,13,19,55,67,26,18,0,1,29,26,755,782,646,657,11,19,49,65,23,15,0,1,26,25,103,74,89,68,2,0,6,2,3,3,0,0,3,1
050,32,001,Nevada,Churchill County,2,5,1339,655,684,538,582,36,23,36,40,13,15,5,3,27,21,531,579,425,484,34,21,29,39,13,14,4,2,26,19,124,105,113,98,2,2,7,1,0,1,1,1,1,2
050,32,001,Nevada,Churchill County,2,6,1592,842,750,725,656,34,17,36,32,30,24,1,2,16,19,716,645,605,554,34,15,35,32,28,23,1,2,13,19,126,105,120,102,0,2,1,0,2,1,0,0,3,0
050,32,001,Nevada,Churchill County,2,7,1610,815,795,738,694,14,11,31,42,17,29,2,5,13,14,733,729,663,634,13,11,28,40,16,28,1,5,12,11,82,66,75,60,1,0,3,2,1,1,1,0,1,3
050,32,001,Nevada,Churchill County,2,8,1836,943,893,850,756,19,17,36,46,22,51,3,6,13,17,876,827,788,700,19,16,33,41,21,50,3,5,12,15,67,66,62,56,0,1,3,5,1,1,0,1,1,2
050,32,001,Nevada,Churchill County,2,9,1825,880,945,789,815,16,15,38,56,21,45,4,0,12,14,814,886,728,763,16,15,36,51,21,43,3,0,10,14,66,59,61,52,0,0,2,5,0,2,1,0,2,0
050,32,001,Nevada,Churchill County,2,10,1635,834,801,765,713,12,5,33,39,15,35,1,0,8,9,790,765,724,680,12,5,30,36,15,35,1,0,8,9,44,36,41,33,0,0,3,3,0,0,0,0,0,0
050,32,001,Nevada,Churchill County,2,11,1475,732,743,677,651,6,1,21,39,24,41,0,1,4,10,704,723,653,633,6,1,19,38,22,41,0,1,4,9,28,20,24,18,0,0,2,1,2,0,0,0,0,1
050,32,001,Nevada,Churchill County,2,12,1276,641,635,602,574,8,4,16,23,9,26,0,0,6,8,618,614,580,553,8,4,15,23,9,26,0,0,6,8,23,21,22,21,0,0,1,0,0,0,0,0,0,0
050,32,001,Nevada,Churchill County,2,13,992,519,473,482,432,5,5,20,17,5,12,2,0,5,7,500,460,464,419,5,5,19,17,5,12,2,0,5,7,19,13,18,13,0,0,1,0,0,0,0,0,0,0
050,32,001,Nevada,Churchill County,2,14,826,414,412,382,381,0,1,18,17,6,13,0,0,8,0,404,400,372,370,0,1,18,16,6,13,0,0,8,0,10,12,10,11,0,0,0,1,0,0,0,0,0,0
