SUMLEV,STATE,COUNTY,STNAME,CTYNAME,YEAR,AGEGRP,TOT_POP,TOT_MALE,TOT_FEMALE,WA_MALE,WA_FEMALE,BA_MALE,BA_FEMALE,IA_MALE,IA_FEMALE,AA_MALE,AA_FEMALE,NA_MALE,NA_FEMALE,TOM_MALE,TOM_FEMALE,NH_MALE,NH_FEMALE,NHWA_MALE,NHWA_FEMALE,NHBA_MALE,NHBA_FEMALE,NHIA_MALE,NHIA_FEMALE,NHAA_MALE,NHAA_FEMALE,NHNA_MALE,NHNA_FEMALE,NHTOM_MALE,NHTOM_FEMALE,H_MALE,H_FEMALE,HWA_MALE,HWA_FEMALE,HBA_MALE,HBA_FEMALE,HIA_MALE,HIA_FEMALE,HAA_MALE,HAA_FEMALE,HNA_MALE,HNA_FEMALE,HTOM_MALE,HTOM_FEMALE
050,34,001,New Jersey,Atlantic County,1,0,3116,1556,1560,1059,1039,333,341,7,8,100,97,1,5,56,70,1212,1237,799,778,270,298,1,4,96,95,0,1,46,61,344,323,260,261,63,43,6,4,4,2,1,4,10,9
050,34,001,New Jersey,Atlantic County,1,1,13368,6742,6626,4531,4492,1556,1496,25,22,414,414,8,7,208,195,5512,5324,3549,3448,1367,1300,9,14,405,399,2,2,180,161,1230,1302,982,1044,189,196,16,8,9,15,6,5,28,34
050,34,001,New Jersey,Atlantic County,1,2,19132,9753,9379,6551,6288,2399,2361,38,35,531,448,4,9,230,238,8099,7800,5205,5044,2167,2102,19,14,516,442,1,1,191,197,1654,1579,1346,1244,232,259,19,21,15,6,3,8,39,41
050,34,001,New Jersey,Atlantic County,1,3,18350,9405,8945,6412,6141,2283,2138,30,30,492,434,7,10,181,192,7990,7678,5259,5138,2064,1933,16,12,489,431,4,5,158,159,1415,1267,1153,1003,219,205,14,18,3,3,3,5,23,33
050,34,001,New Jersey,Atlantic County,1,4,15973,8203,7770,5570,5374,1959,1827,33,30,476,385,11,8,154,146,6806,6576,4427,4425,1763,1634,14,14,470,379,1,3,131,121,1397,1194,1143,949,196,193,19,16,6,6,10,5,23,25
050,34,001,New Jersey,Atlantic County,1,5,14326,7197,7129,5252,4984,1437,1579,28,27,393,403,11,8,76,128,5602,5828,3907,3919,1231,1394,13,12,390,398,6,2,55,103,1595,1301,1345,1065,206,185,15,15,3,5,5,6,21,25
050,34,001,New Jersey,Atlantic County,1,6,15632,7549,8083,5494,5484,1396,1851,36,27,521,599,9,7,93,115,5991,6613,4152,4280,1242,1635,14,13,514,587,3,3,66,95,1558,1470,1342,1204,154,216,22,14,7,12,6,4,27,20
050,34,001,New Jersey,Atlantic County,1,7,18099,8804,9295,6419,6606,1625,1893,40,42,626,644,8,3,86,107,7219,7846,5074,5398,1446,1719,16,19,613,631,4,1,66,78,1585,1449,1345,1208,179,174,24,23,13,13,4,2,20,29
050,34,001,New Jersey,Atlantic County,1,8,21884,10850,11034,8129,8080,1873,2151,34,35,717,649,5,4,92,115,9378,9749,6874,7001,1700,1985,21,21,704,642,4,2,75,98,1472,1285,1255,1079,173,166,13,14,13,7,1,2,17,17
050,34,001,New Jersey,Atlantic County,1,9,22015,10902,11113,8406,8327,1687,2008,43,38,669,627,8,8,89,105,9830,9994,7506,7407,1552,1849,31,26,663,619,7,4,71,89,1072,1119,900,920,135,159,12,12,6,8,1,4,18,16
050,34,001,New Jersey,Atlantic County,1,10,18275,9092,9183,7072,7009,1350,1514,29,23,561,533,3,9,77,95,8309,8467,6421,6404,1248,1425,17,17,555,530,1,7,67,84,783,716,651,605,102,89,12,6,6,3,2,2,10,11
050,34,001,New Jersey,Atlantic County,1,11,15756,7674,8082,6117,6277,1073,1328,20,20,390,374,7,7,67,76,7109,7480,5657,5765,997,1263,10,13,386,371,4,1,55,67,565,602,460,512,76,65,10,7,4,3,3,6,12,9
050,34,001,New Jersey,Atlantic County,1,12,12422,5941,6481,4683,5049,889,1061,14,23,305,287,4,4,46,57,5528,6066,4327,4703,847,1013,9,14,302,284,2,3,41,49,413,415,356,346,42,48,5,9,3,3,2,1,5,8
050,34,001,New Jersey,Atlantic County,1,13,10376,4828,5548,3823,4344,724,943,10,15,238,212,1,1,32,33,4515,5257,3549,4098,693,908,10,12,235,209,1,1,27,29,313,291,274,246,31,35,0,3,3,3,0,0,5,4
050,34,001,New Jersey,Atlantic County,1,14,9270,4289,4981,3556,4042,557,748,8,11,143,157,2,1,23,22,4081,4750,3368,3839,543,727,7,9,140,157,1,1,22,17,208,231,188,203,14,21,1,2,3,0,1,0,1,5
050,34,001,New Jersey,Atlantic County,1,15,8998,3929,5069,3320,4252,497,662,2,11,94,119,0,1,16,24,3793,4889,3208,4096,475,643,2,10,94,116,0,1,14,23,136,180,112,156,22,19,0,1,0,3,0,0,2,1
050,34,001,New Jersey,Atlantic County,1,16,7372,2999,4373,2611,3757,324,517,2,6,55,68,1,0,6,25,2926,4273,2544,3673,321,506,1,5,53,67,1,0,6,22,73,100,67,84,3,11,1,1,2,1,0,0,0,3
050,34,001,New Jersey,Atlantic County,1,17,4726,1698,3028,1499,2593,176,377,2,3,17,38,1,0,3,17,1663,2975,1469,2550,173,369,1,3,17,37,0,0,3,16,35,53,30,43,3,8,1,0,0,1,1,0,0,1
050,34,001,New Jersey,Atlantic County,1,18,4120,1149,2971,1010,2552,117,381,0,2,18,25,1,0,3,11,1126,2935,989,2523,117,375,0,1,18,25,1,0,1,11,23,36,21,29,0,6,0,1,0,0,0,0,2,0
050,34,001,New Jersey,Atlantic County,1,99,253210,122560,130650,91514,96690,22255,25176,401,408,6760,6513,92,92,1538,1771,106689,115737,78284,84489,20216,23078,211,233,6660,6419,43,38,1275,1480,15871,14913,13230,12201,2039,2098,190,175,100,94,49,54,263,291
050,34,001,New Jersey,Atlantic County,2,0,3166,1581,1585,1069,1049,338,345,7,8,104,101,1,5,62,77,1222,1251,801,780,274,301,1,4,100,99,0,1,46,66,359,334,268,269,64,44,6,4,4,2,1,4,16,11
050,34,001,New Jersey,Atlantic County,2,1,13324,6718,6606,4502,4465,1547,1489,25,22,416,417,8,7,220,206,5484,5301,3521,3421,1357,1292,9,14,407,402,2,2,188,170,1234,1305,981,1044,190,197,16,8,9,15,6,5,32,36
050,34,001,New Jersey,Atlantic County,2,2,19026,9696,9330,6509,6250,2383,2344,38,35,534,452,4,9,228,240,8037,7744,5158,5002,2150,2083,19,14,519,446,1,1,190,198,1659,1586,1351,1248,233,261,19,21,15,6,3,8,38,42
050,34,001,New Jersey,Atlantic County,2,3,18433,9453,8980,6434,6156,2300,2161,30,30,496,438,7,10,186,185,8014,7688,5262,5136,2076,1950,16,12,493,435,4,5,163,150,1439,1292,1172,1020,224,211,14,18,3,3,3,5,23,35
050,34,001,New Jersey,Atlantic County,2,4,16032,8239,7793,5585,5382,1966,1832,33,30,479,389,11,8,165,152,6831,6590,4434,4425,1768,1638,14,14,473,383,1,3,141,127,1408,1203,1151,957,198,194,19,16,6,6,10,5,24,25
