SUMLEV,STATE,COUNTY,STNAME,CTYNAME,YEAR,AGEGRP,TOT_POP,TOT_MALE,TOT_FEMALE,WA_MALE,WA_FEMALE,BA_MALE,BA_FEMALE,IA_MALE,IA_FEMALE,AA_MALE,AA_FEMALE,NA_MALE,NA_FEMALE,TOM_MALE,TOM_FEMALE,NH_MALE,NH_FEMALE,NHWA_MALE,NHWA_FEMALE,NHBA_MALE,NHBA_FEMALE,NHIA_MALE,NHIA_FEMALE,NHAA_MALE,NHAA_FEMALE,NHNA_MALE,NHNA_FEMALE,NHTOM_MALE,NHTOM_FEMALE,H_MALE,H_FEMALE,HWA_MALE,HWA_FEMALE,HBA_MALE,HBA_FEMALE,HIA_MALE,HIA_FEMALE,HAA_MALE,HAA_FEMALE,HNA_MALE,HNA_FEMALE,HTOM_MALE,HTOM_FEMALE
050,04,001,Arizona,Apache County,1,0,1232,615,617,85,94,1,0,516,509,1,0,0,1,12,13,580,580,58,68,1,0,510,502,0,0,0,0,11,10,35,37,27,26,0,0,6,7,1,0,0,1,1,3
050,04,001,Arizona,Apache County,1,1,5068,2583,2485,425,395,7,6,2095,2039,9,1,1,3,46,41,2455,2354,326,296,6,6,2076,2013,6,1,0,2,41,36,128,131,99,99,1,0,19,26,3,0,1,1,5,5
050,04,001,Arizona,Apache County,1,2,7603,3890,3713,563,550,3,8,3270,3099,5,8,2,3,47,45,3741,3569,446,449,2,5,3244,3068,3,5,1,2,45,40,149,144,117,101,1,3,26,31,2,3,1,1,2,5
050,04,001,Arizona,Apache County,1,3,8228,4179,4049,649,664,2,6,3477,3325,1,2,0,5,50,47,4008,3869,509,533,0,4,3451,3280,1,2,0,4,47,46,171,180,140,131,2,2,26,45,0,0,0,1,3,1
050,04,001,Arizona,Apache County,1,4,6941,3628,3313,680,557,5,2,2903,2719,4,6,3,2,33,27,3444,3170,539,460,3,2,2868,2680,4,6,3,0,27,22,184,143,141,97,2,0,35,39,0,0,0,2,6,5
050,04,001,Arizona,Apache County,1,5,4222,2193,2029,345,323,9,6,1831,1686,1,1,1,3,6,10,2059,1958,234,260,9,6,1809,1679,1,1,1,3,5,9,134,71,111,63,0,0,22,7,0,0,0,0,1,1
050,04,001,Arizona,Apache County,1,6,3782,1887,1895,339,310,17,2,1521,1566,0,7,1,2,9,8,1781,1828,246,256,15,1,1510,1557,0,6,1,2,9,6,106,67,93,54,2,1,11,9,0,1,0,0,0,2
050,04,001,Arizona,Apache County,1,7,4182,2082,2100,398,430,14,6,1655,1646,8,7,2,0,5,11,1975,2001,308,346,14,3,1641,1636,7,7,0,0,5,9,107,99,90,84,0,3,14,10,1,0,2,0,0,2
050,04,001,Arizona,Apache County,1,8,4806,2315,2491,500,544,14,3,1778,1928,3,7,4,0,16,9,2200,2398,405,465,14,3,1761,1915,3,7,3,0,14,8,115,93,95,79,0,0,17,13,0,0,1,0,2,1
050,04,001,Arizona,Apache County,1,9,4663,2214,2449,618,594,17,3,1558,1833,1,3,5,1,15,15,2101,2348,517,507,15,2,1550,1822,0,3,5,1,14,13,113,101,101,87,2,1,8,11,1,0,0,0,1,2
050,04,001,Arizona,Apache County,1,10,4157,1978,2179,633,637,9,3,1312,1515,3,7,2,1,19,16,1882,2098,548,562,9,3,1305,1509,3,7,1,1,16,16,96,81,85,75,0,0,7,6,0,0,1,0,3,0
050,04,001,Arizona,Apache County,1,11,3460,1697,1763,567,513,6,2,1110,1227,2,6,0,1,12,14,1626,1707,502,462,6,2,1104,1222,2,6,0,1,12,14,71,56,65,51,0,0,6,5,0,0,0,0,0,0
050,04,001,Arizona,Apache County,1,12,2892,1375,1517,485,479,7,6,874,1018,1,0,0,1,8,13,1305,1452,418,418,7,6,871,1015,1,0,0,1,8,12,70,65,67,61,0,0,3,3,0,0,0,0,0,1
050,04,001,Arizona,Apache County,1,13,2453,1173,1280,450,407,2,4,716,863,0,3,0,0,5,3,1098,1206,380,338,2,4,711,858,0,3,0,0,5,3,75,74,70,69,0,0,5,5,0,0,0,0,0,0
050,04,001,Arizona,Apache County,1,14,2033,961,1072,354,301,1,4,600,762,0,2,1,0,5,3,910,1021,304,252,1,4,599,760,0,2,1,0,5,3,51,51,50,49,0,0,1,2,0,0,0,0,0,0
050,04,001,Arizona,Apache County,1,15,1447,679,768,256,216,1,5,419,543,1,0,0,1,2,3,645,745,225,195,1,5,416,541,1,0,0,1,2,3,34,23,31,21,0,0,3,2,0,0,0,0,0,0
050,04,001,Arizona,Apache County,1,16,1007,459,548,141,159,1,0,315,387,0,0,0,0,2,2,445,531,130,145,1,0,312,384,0,0,0,0,2,2,14,17,11,14,0,0,3,3,0,0,0,0,0,0
050,04,001,Arizona,Apache County,1,17,626,248,378,68,114,0,0,178,264,0,0,0,0,2,0,241,370,61,106,0,0,178,264,0,0,0,0,2,0,7,8,7,8,0,0,0,0,0,0,0,0,0,0
050,04,001,Arizona,Apache County,1,18,628,252,376,62,92,0,1,189,282,0,0,0,0,1,1,242,361,52,80,0,1,189,279,0,0,0,0,1,1,10,15,10,12,0,0,0,3,0,0,0,0,0,0
050,04,001,Arizona,Apache County,1,99,69430,34408,35022,7618,7379,116,67,26317,27211,40,60,22,24,295,281,32738,33566,6208,6198,106,57,26105,26984,32,56,16,18,271,253,1670,1456,1410,1181,10,10,212,227,8,4,6,6,24,28
050,04,001,Arizona,Apache County,2,0,1243,620,623,86,96,1,0,519,513,1,0,0,1,13,13,584,585,58,69,1,0,513,506,0,0,0,0,12,10,36,38,28,27,0,0,6,7,1,0,0,1,1,3
050,04,001,Arizona,Apache County,2,1,5038,2565,2473,417,388,7,6,2090,2033,9,1,1,3,41,42,2437,2341,319,289,6,6,2070,2006,6,1,0,2,36,37,128,132,98,99,1,0,20,27,3,0,1,1,5,5
050,04,001,Arizona,Apache County,2,2,7533,3857,3676,548,536,3,8,3255,3078,5,8,2,3,44,43,3711,3533,434,437,2,5,3229,3046,3,5,1,2,42,38,146,143,114,99,1,3,26,32,2,3,1,1,2,5
050,04,001,Arizona,Apache County,2,3,8251,4183,4068,649,662,2,6,3491,3346,1,2,0,5,40,47,4013,3887,510,533,0,4,3465,3298,1,2,0,4,37,46,170,181,139,129,2,2,26,48,0,0,0,1,3,1
050,04,001,Arizona,Apache County,2,4,6967,3637,3330,681,561,5,2,2911,2731,4,6,3,2,33,28,3453,3186,541,465,3,2,2875,2691,4,6,3,0,27,22,184,144,140,96,2,0,36,40,0,0,0,2,6,6
050,04,001,Arizona,Apache County,2,5,4248,2208,2040,345,325,9,6,1846,1694,1,1,1,3,6,11,2075,1969,235,262,9,6,1824,1687,1,1,1,3,5,10,133,71,110,63,0,0,22,7,0,0,0,0,1,1
050,04,001,Arizona,Apache County,2,6,3750,1872,1878,335,307,17,2,1510,1553,0,7,1,2,9,7,1767,1811,243,253,15,1,1499,1544,0,6,1,2,9,5,105,67,92,54,2,1,11,9,0,1,0,0,0,2
050,04,001,Arizona,Apache County,2,7,4166,2073,2093,397,426,14,6,1646,1643,8,7,2,0,6,11,1968,1996,309,344,14,3,1632,1633,7,7,0,0,6,9,105,97,88,82,0,3,14,10,1,0,2,0,0,2
050,04,001,Arizona,Apache County,2,8,4787,2309,2478,497,540,14,3,1776,1918,3,7,4,0,15,10,2196,2387,404,463,14,3,1759,1905,3,7,3,0,13,9,113,91,93,77,0,0,17,13,0,0,1,0,2,1
050,04,001,Arizona,Apache County,2,9,4681,2222,2459,618,594,17,3,1566,1845,1,3,5,1,15,13,2109,2357,517,506,15,2,1558,1834,0,3,5,1,14,11,113,102,101,88,2,1,8,11,1,0,0,0,1,2
050,04,001,Arizona,Apache County,2,10,4183,1992,2191,639,641,9,3,1318,1524,4,8,2,1,20,14,1896,2111,554,567,9,3,1311,1518,4,8,1,1,17,14,96,80,85,74,0,0,7,6,0,0,1,0,3,0
050,04,001,Arizona,Apache County,2,11,3495,1718,1777,574,518,6,2,1126,1237,2,6,0,1,10,13,1646,1720,509,466,6,2,1119,1232,2,6,0,1,10,13,72,57,65,52,0,0,7,5,0,0,0,0,0,0
050,04,001,Arizona,Apache County,2,12,2914,1384,1530,490,482,7,6,878,1026,1,0,0,1,8,15,1314,1465,423,421,7,6,875,1023,1,0,0,1,8,14,70,65,67,61,0,0,3,3,0,0,0,0,0,1
050,04,001,Arizona,Apache County,2,13,2478,1185,1293,454,410,3,4,723,873,0,3,0,0,5,3,1110,1219,384,341,3,4,718,868,0,3,0,0,5,3,75,74,70,69,0,0,5,5,0,0,0,0,0,0
050,04,001,Arizona,Apache County,2,14,2046,967,1079,356,300,1,4,604,769,0,2,1,0,5,4,916,1028,306,251,1,4,603,767,0,2,1,0,5,4,51,51,50,49,0,0,1,2,0,0,0,0,0,0
050,04,001,Arizona,Apache County,2,15,1453,684,769,256,216,1,5,424,544,1,0,0,1,2,3,650,746,225,195,1,5,421,542,1,0,0,1,2,3,34,23,31,21,0,0,3,2,0,0,0,0,0,0
050,04,001,Arizona,Apache County,2,16,1010,461,549,143,159,1,0,315,388,0,0,0,0,2,2,446,532,131,145,1,0,312,385,0,0,0,0,2,2,15,17,12,14,0,0,3,3,0,0,0,0,0,0
050,04,001,Arizona,Apache County,2,17,638,253,385,69,116,0,0,182,269,0,0,0,0,2,0,245,377,61,108,0,0,182,269,0,0,0,0,2,0,8,8,8,8,0,0,0,0,0,0,0,0,0,0
050,04,001,Arizona,Apache County,2,18,626,251,375,63,92,0,1,187,281,0,0,0,0,1,1,241,361,53,81,0,1,187,278,0,0,0,0,1,1,10,14,10,11,0,0,0,3,0,0,0,0,0,0
050,04,001,Arizona,Apache County,2,99,69507,34441,35066,7617,7369,117,67,26367,27265,41,61,22,24,277,280,32777,33611,6216,6196,107,57,26152,27032,33,57,16,18,253,251,1664,1455,1401,1173,10,10,215,233,8,4,6,6,24,29
050,04,001,Arizona,Apache County,3,0,1101,542,559,83,86,3,0,443,457,1,0,0,1,12,15,513,530,65,70,3,0,435,448,0,0,0,0,10,12,29,29,18,16,0,0,8,9,1,0,0,1,2,3
050,04,001,Arizona,Apache County,3,1,4720,2382,2338,397,388,8,7,1923,1886,8,1,1,3,45,53,2222,2196,278,280,6,7,1893,1858,5,1,0,2,40,48,160,142,119,108,2,0,30,28,3,0,1,1,5,5
050,04,001,Arizona,Apache County,3,2,6963,3576,3387,515,473,3,8,2999,2849,8,8,2,3,49,46,3410,3223,376,348,2,5,2978,2822,6,5,1,2,47,41,166,164,139,125,1,3,21,27,2,3,1,1,2,5
