,State FIPS Code,County FIPS Code,year,population,age04,age59,age1014,age1519,age2024,age2529,age3034,age3539,age4044,age4549,age5054,age5559,age6064,age6569,age7074,age7579,age8084,age85plus
7175,18,47,1995,20854,0.07140117,0.0769157,0.084923756,0.076004603,0.055289153,0.063105399,0.077491129,0.084971708,0.076867747,0.067421118,0.052412007,0.044020332,0.040184137,0.038505802,0.033470797,0.025079122,0.01596816,0.01596816
7176,18,47,1996,21169,0.070716614,0.077613491,0.083707308,0.076290803,0.052576881,0.064386603,0.075015353,0.085596863,0.07851103,0.071189003,0.052813076,0.04454627,0.039822382,0.037649393,0.032972743,0.024989371,0.015966744,0.015636072
7177,18,47,1997,21330,0.070511017,0.079278012,0.082981716,0.076324426,0.05100797,0.064556962,0.071964369,0.085044538,0.080028129,0.07037037,0.057008908,0.045288326,0.039943741,0.036849508,0.032536334,0.024941397,0.015752461,0.015611814
7178,18,47,1998,21665,0.0702054,0.080729287,0.082114009,0.075975075,0.051003923,0.063512578,0.069974613,0.083914147,0.080590815,0.071128548,0.058527579,0.047034387,0.040664667,0.035956612,0.032587122,0.024786522,0.015878144,0.015416571
7179,18,47,1999,21981,0.069833038,0.081524953,0.082025386,0.074746372,0.050725627,0.061507666,0.068377235,0.083299213,0.081342978,0.07247168,0.059960875,0.047995997,0.041444884,0.035530686,0.032710068,0.025158091,0.015968336,0.015376916
7180,18,49,1990,18871,0.069047745,0.076731493,0.073605002,0.068729797,0.050023846,0.07429389,0.079963966,0.073446028,0.064543479,0.055799905,0.052567432,0.049228976,0.051825552,0.050288803,0.041068306,0.032748662,0.020189709,0.015897409
7181,18,49,1991,18909,0.068538791,0.075731133,0.074409012,0.066211857,0.051404093,0.071711883,0.078798456,0.075096515,0.068115712,0.055793537,0.052461791,0.048336771,0.051033899,0.050134856,0.041461738,0.033105928,0.020730869,0.016923158
7182,18,49,1992,19031,0.068257054,0.074194735,0.075035468,0.065997583,0.052703484,0.068729967,0.077715307,0.07666439,0.067941779,0.060427723,0.053176396,0.048237087,0.0499711,0.049025275,0.041406127,0.032683516,0.020755609,0.0170774
7183,18,49,1993,19319,0.06796418,0.072985144,0.07495212,0.066359542,0.053108339,0.066411305,0.075935607,0.078523733,0.069775868,0.061804441,0.054661214,0.048708525,0.048605,0.048501475,0.041099436,0.032506859,0.020549718,0.017547492
7184,18,49,1994,19479,0.067816623,0.072950357,0.074593152,0.067611274,0.052312747,0.064479696,0.074079778,0.079110837,0.070999538,0.063966323,0.055392987,0.049489193,0.047127676,0.047897736,0.041326557,0.032034499,0.020740284,0.018070743
7185,18,49,1995,19628,0.067250866,0.072804157,0.0740269,0.06888119,0.051304259,0.063990218,0.07168331,0.080140615,0.072957,0.066028123,0.05558386,0.04957204,0.046464235,0.047024659,0.041216629,0.031842266,0.020990422,0.01823925
7186,18,49,1996,19896,0.066797346,0.072878971,0.07358263,0.070315641,0.049356655,0.065138721,0.068757539,0.080317652,0.074587857,0.069611982,0.054985927,0.050613189,0.045938882,0.046039405,0.040158826,0.031463611,0.021009248,0.018445919
7187,18,49,1997,20081,0.066829341,0.073850904,0.073402719,0.071161795,0.049001544,0.064837408,0.065833375,0.079976097,0.076291021,0.068771476,0.058064837,0.051441661,0.045615258,0.044718889,0.039091679,0.031522335,0.020915293,0.018674369
7188,18,49,1998,20283,0.066459597,0.074397279,0.073016812,0.07173495,0.049746093,0.063452152,0.06340285,0.078933097,0.076961002,0.068974018,0.058669822,0.053443771,0.046344229,0.043484692,0.039047478,0.031553518,0.021101415,0.019277227
7189,18,49,1999,20448,0.06616784,0.074334898,0.073650235,0.071742958,0.050958529,0.060983959,0.061913146,0.077807121,0.077953834,0.06993349,0.059565728,0.054186228,0.04709507,0.042644757,0.038292254,0.03178795,0.021322379,0.019659624
7190,18,51,1990,31878,0.065531087,0.074157726,0.071397202,0.067977916,0.061578518,0.071930485,0.083443127,0.077169208,0.066472175,0.053516532,0.051414769,0.048371918,0.049344375,0.046176046,0.039400213,0.031589184,0.021707761,0.018821758
7191,18,51,1991,31794,0.065641316,0.073158458,0.072057621,0.065641316,0.062967856,0.06950997,0.082499843,0.078662641,0.070422092,0.054035353,0.051865132,0.047210165,0.048782789,0.045354469,0.039409952,0.03164119,0.021828018,0.01931182
7192,18,51,1992,31776,0.065647029,0.071531974,0.072255791,0.064797331,0.062940584,0.067000252,0.081130413,0.080060423,0.070556395,0.058817976,0.05277568,0.046733384,0.047740433,0.045128399,0.03990433,0.031501762,0.021934794,0.019543051
7193,18,51,1993,31983,0.065441016,0.069787074,0.071819404,0.065816215,0.062501954,0.064815683,0.079354657,0.080855454,0.072007004,0.060813557,0.054497702,0.046868649,0.04630585,0.045367852,0.040271394,0.031516743,0.02213676,0.019823031
