State FIPS Code,County FIPS Code,County,Year,Labor Force Size,Employed,Unemployed,Unemployment Rate
5,117,Prairie,2000,4406,4216,190,4.3
5,119,Pulaski,2000,184451,177647,6804,3.7
5,121,Randolph,2000,8293,7862,431,5.2
5,123,St. Francis,2000,10919,10170,749,6.9
5,125,Saline,2000,42748,41368,1380,3.2
5,127,Scott,2000,4937,4767,170,3.4
5,129,Searcy,2000,3309,3148,161,4.9
5,131,Sebastian,2000,56523,54646,1877,3.3
5,133,Sevier,2000,7244,6972,272,3.8
5,135,Sharp,2000,6565,6227,338,5.1
5,137,Stone,2000,4666,4464,202,4.3
5,139,Union,2000,20204,19262,942,4.7
5,141,Van Buren,2000,6629,6280,349,5.3
5,143,Washington,2000,82281,79877,2404,2.9
5,145,White,2000,30997,29541,1456,4.7
5,147,Woodruff,2000,3777,3545,232,6.1
5,149,Yell,2000,9939,9547,392,3.9
6,1,Alameda,2000,768654,741264,27390,3.6
6,3,Alpine,2000,555,520,35,6.3
6,5,Amador,2000,15260,14477,783,5.1
6,7,Butte,2000,93071,87362,5709,6.1
6,9,Calaveras,2000,18133,17134,999,5.5
6,11,Colusa,2000,9253,8194,1059,11.4
6,13,Contra Costa,2000,500681,483153,17528,3.5
6,15,Del Norte,2000,10228,9478,750,7.3
6,17,El Dorado,2000,82122,78763,3359,4.1
6,19,Fresno,2000,387784,347882,39902,10.3
6,21,Glenn,2000,11277,10335,942,8.4
6,23,Humboldt,2000,60073,56634,3439,5.7
6,25,Imperial,2000,55945,46291,9654,17.3
6,27,Inyo,2000,8847,8440,407,4.6
6,29,Kern,2000,293341,269403,23938,8.2
6,31,Kings,2000,49156,44299,4857,9.9
6,33,Lake,2000,23058,21402,1656,7.2
6,35,Lassen,2000,11343,10542,801,7.1
6,37,Los Angeles,2000,4665167,4413213,251954,5.4
6,39,Madera,2000,54852,50136,4716,8.6
6,41,Marin,2000,141747,137758,3989,2.8
6,43,Mariposa,2000,7971,7485,486,6.1
6,45,Mendocino,2000,43545,41150,2395,5.5
6,47,Merced,2000,90193,81627,8566,9.5
6,49,Modoc,2000,3749,3471,278,7.4
6,51,Mono,2000,7392,7053,339,4.6
6,53,Monterey,2000,203030,188232,14798,7.3
6,55,Napa,2000,66592,64225,2367,3.6
6,57,Nevada,2000,45437,43575,1862,4.1
6,59,Orange,2000,1480373,1428975,51398,3.5
6,61,Placer,2000,132043,127349,4694,3.6
6,63,Plumas,2000,9753,9066,687,7.0
6,65,Riverside,2000,680221,644150,36071,5.3
6,67,Sacramento,2000,608389,582325,26064,4.3
6,69,San Benito,2000,27430,25802,1628,5.9
6,71,San Bernardino,2000,738895,703922,34973,4.7
6,73,San Diego,2000,1375223,1322119,53104,3.9
6,75,San Francisco/city,2000,472525,456633,15892,3.4
6,77,San Joaquin,2000,258695,240902,17793,6.9
6,79,San Luis Obispo,2000,122394,117520,4874,4.0
6,81,San Mateo,2000,397997,386727,11270,2.8
6,83,Santa Barbara,2000,202270,193546,8724,4.3
6,85,Santa Clara,2000,940298,911499,28799,3.1
6,87,Santa Cruz,2000,148261,140770,7491,5.1
6,89,Shasta,2000,74781,70297,4484,6.0
6,91,Sierra,2000,1800,1696,104,5.8
6,93,Siskiyou,2000,19128,17703,1425,7.4
6,95,Solano,2000,194085,185199,8886,4.6
6,97,Sonoma,2000,253136,244734,8402,3.3
6,99,Stanislaus,2000,207563,191596,15967,7.7
6,101,Sutter,2000,37817,34304,3513,9.3
6,103,Tehama,2000,23593,22072,1521,6.4
6,105,Trinity,2000,5104,4609,495,9.7
6,107,Tulare,2000,171627,153986,17641,10.3
6,109,Tuolumne,2000,22872,21540,1332,5.8
6,111,Ventura,2000,392421,374884,17537,4.5
6,113,Yolo,2000,86130,81841,4289,5.0
6,115,Yuba,2000,24268,22361,1907,7.9
8,1,Adams,2000,186637,181511,5126,2.7
8,3,Alamosa,2000,7205,6946,259,3.6
8,5,Arapahoe,2000,281688,274886,6802,2.4
8,7,Archuleta,2000,5012,4853,159,3.2
8,9,Baca,2000,2105,2044,61,2.9
8,11,Bent,2000,2273,2185,88,3.9
8,13,Boulder,2000,159943,156127,3816,2.4
8,14,Broomfield/city,2000,22552,22014,538,2.4
8,15,Chaffee,2000,7344,7102,242,3.3
8,17,Cheyenne,2000,1120,1092,28,2.5
8,19,Clear Creek,2000,6042,5878,164,2.7
8,21,Conejos,2000,3338,3171,167,5.0
8,23,Costilla,2000,1247,1155,92,7.4
8,25,Crowley,2000,1488,1409,79,5.3
8,27,Custer,2000,1665,1608,57,3.4
8,29,Delta,2000,12330,11876,454,3.7
8,31,Denver/city,2000,305042,295868,9174,3.0
8,33,Dolores,2000,903,853,50,5.5
8,35,Douglas,2000,105548,103389,2159,2.0
8,37,Eagle,2000,25619,25011,608,2.4
8,39,Elbert,2000,11599,11340,259,2.2
8,41,El Paso,2000,264548,256881,7667,2.9
8,43,Fremont,2000,17845,17149,696,3.9
8,45,Garfield,2000,24742,24084,658,2.7
8,47,Gilpin,2000,3307,3225,82,2.5
8,49,Grand,2000,7624,7437,187,2.5
8,51,Gunnison,2000,8180,7956,224,2.7
8,53,Hinsdale,2000,651,638,13,2.0
8,55,Huerfano,2000,3075,2905,170,5.5
8,57,Jackson,2000,885,860,25,2.8
8,59,Jefferson,2000,309216,301984,7232,2.3
8,61,Kiowa,2000,782,758,24,3.1
8,63,Kit Carson,2000,3843,3746,97,2.5
8,65,Lake,2000,4041,3907,134,3.3
8,67,La Plata,2000,24447,23750,697,2.9
8,69,Larimer,2000,146251,142638,3613,2.5
8,71,Las Animas,2000,6676,6401,275,4.1
8,73,Lincoln,2000,2624,2552,72,2.7
8,75,Logan,2000,10000,9717,283,2.8
8,77,Mesa,2000,58850,56913,1937,3.3
8,79,Mineral,2000,419,404,15,3.6
8,81,Moffat,2000,6995,6749,246,3.5
8,83,Montezuma,2000,11798,11310,488,4.1
8,85,Montrose,2000,16204,15613,591,3.6
8,87,Morgan,2000,12542,12166,376,3.0
8,89,Otero,2000,8815,8436,379,4.3
8,91,Ouray,2000,2198,2140,58,2.6
8,93,Park,2000,8524,8309,215,2.5
8,95,Phillips,2000,2052,1999,53,2.6
8,97,Pitkin,2000,9921,9650,271,2.7
8,99,Prowers,2000,6927,6728,199,2.9
8,101,Pueblo,2000,63915,61420,2495,3.9
8,103,Rio Blanco,2000,3236,3143,93,2.9
8,105,Rio Grande,2000,5817,5557,260,4.5
8,107,Routt,2000,12505,12193,312,2.5
8,109,Saguache,2000,2707,2557,150,5.5
8,111,San Juan,2000,513,490,23,4.5
8,113,San Miguel,2000,4722,4580,142,3.0
8,115,Sedgwick,2000,1398,1361,37,2.6
8,117,Summit,2000,16062,15703,359,2.2
8,119,Teller,2000,11881,11531,350,2.9
8,121,Washington,2000,2439,2377,62,2.5
8,123,Weld,2000,93466,90971,2495,2.7
8,125,Yuma,2000,5036,4905,131,2.6
9,1,Fairfield,2000,451537,443029,8508,1.9
9,3,Hartford,2000,434286,424221,10065,2.3
9,5,Litchfield,2000,100655,98819,1836,1.8
9,7,Middlesex,2000,86509,84884,1625,1.9
9,9,New Haven,2000,419397,409754,9643,2.3
9,11,New London,2000,133429,130662,2767,2.1
9,13,Tolland,2000,76613,75314,1299,1.7
9,15,Windham,2000,58271,56909,1362,2.3
10,1,Kent,2000,63388,60946,2442,3.9
10,3,New Castle,2000,270201,260831,9370,3.5
10,5,Sussex,2000,79367,76410,2957,3.7
11,1,District of Colu,2000,309977,292299,17678,5.7
12,1,Alachua,2000,117215,113652,3563,3.0
12,3,Baker,2000,10487,10168,319,3.0
12,5,Bay,2000,72654,69241,3413,4.7
12,7,Bradford,2000,10679,10274,405,3.8
12,9,Brevard,2000,234063,225478,8585,3.7
12,11,Broward,2000,862804,831089,31715,3.7
12,13,Calhoun,2000,5200,4953,247,4.8
12,15,Charlotte,2000,55649,53565,2084,3.7
12,17,Citrus,2000,44138,42052,2086,4.7
12,19,Clay,2000,74520,72244,2276,3.1
12,21,Collier,2000,117136,112737,4399,3.8
12,23,Columbia,2000,25908,24879,1029,4.0
12,27,DeSoto,2000,13393,12792,601,4.5
12,29,Dixie,2000,5175,4942,233,4.5
12,31,Duval,2000,411949,398144,13805,3.4
12,33,Escambia,2000,133669,128223,5446,4.1
12,35,Flagler,2000,21195,20427,768,3.6
12,37,Franklin,2000,4453,4276,177,4.0
12,39,Gadsden,2000,20131,19317,814,4.0
12,41,Gilchrist,2000,6487,6252,235,3.6
12,43,Glades,2000,4123,3927,196,4.8
12,45,Gulf,2000,5295,4972,323,6.1
12,47,Hamilton,2000,4623,4374,249,5.4
12,49,Hardee,2000,10851,10204,647,6.0
12,51,Hendry,2000,16447,15251,1196,7.3
12,53,Hernando,2000,50040,47837,2203,4.4
12,55,Highlands,2000,33472,31852,1620,4.8
12,57,Hillsborough,2000,533645,516062,17583,3.3
12,59,Holmes,2000,7811,7431,380,4.9
12,61,Indian River,2000,51517,48860,2657,5.2
12,63,Jackson,2000,19573,18665,908,4.6
12,65,Jefferson,2000,6120,5893,227,3.7
12,67,Lafayette,2000,2744,2631,113,4.1
12,69,Lake,2000,94129,90721,3408,3.6
12,71,Lee,2000,209581,202746,6835,3.3
12,73,Leon,2000,136017,131829,4188,3.1
12,75,Levy,2000,14528,13958,570,3.9
12,77,Liberty,2000,2645,2534,111,4.2
12,79,Madison,2000,7767,7448,319,4.1
12,81,Manatee,2000,124326,120333,3993,3.2
12,83,Marion,2000,110190,105689,4501,4.1
12,85,Martin,2000,56861,54468,2393,4.2
12,86,Miami-Dade,2000,1091659,1043046,48613,4.5
12,87,Monroe,2000,45588,44271,1317,2.9
12,89,Nassau,2000,30549,29531,1018,3.3
12,91,Okaloosa,2000,81126,78110,3016,3.7
12,93,Okeechobee,2000,15804,14948,856,5.4
12,95,Orange,2000,504054,488469,15585,3.1
12,97,Osceola,2000,90374,87372,3002,3.3
12,99,Palm Beach,2000,546593,523327,23266,4.3
12,101,Pasco,2000,151610,145960,5650,3.7
12,103,Pinellas,2000,475357,459600,15757,3.3
12,105,Polk,2000,233350,223624,9726,4.2
12,107,Putnam,2000,29619,28343,1276,4.3
12,109,St. Johns,2000,67048,65047,2001,3.0
12,111,St. Lucie,2000,88254,83132,5122,5.8
12,113,Santa Rosa,2000,55471,53327,2144,3.9
12,115,Sarasota,2000,150154,145304,4850,3.2
12,117,Seminole,2000,214509,207963,6546,3.1
12,119,Sumter,2000,17077,16335,742,4.3
12,121,Suwannee,2000,15561,14999,562,3.6
12,123,Taylor,2000,8354,7939,415,5.0
12,125,Union,2000,4571,4370,201,4.4
12,127,Volusia,2000,211550,204337,7213,3.4
12,129,Wakulla,2000,11800,11418,382,3.2
12,131,Walton,2000,19592,18906,686,3.5
12,133,Washington,2000,9029,8617,412,4.6
13,1,Appling,2000,8519,8062,457,5.4
13,3,Atkinson,2000,3489,3305,184,5.3
13,5,Bacon,2000,4641,4431,210,4.5
13,7,Baker,2000,1735,1661,74,4.3
13,9,Baldwin,2000,18875,17970,905,4.8
13,11,Banks,2000,7768,7535,233,3.0
13,13,Barrow,2000,25014,24267,747,3.0
13,15,Bartow,2000,40350,38875,1475,3.7
13,17,Ben Hill,2000,8112,7721,391,4.8
13,19,Berrien,2000,8015,7697,318,4.0
13,21,Bibb,2000,69989,66992,2997,4.3
13,23,Bleckley,2000,5145,4930,215,4.2
13,25,Brantley,2000,6754,6472,282,4.2
13,27,Brooks,2000,7521,7177,344,4.6
13,29,Bryan,2000,11543,11184,359,3.1
13,31,Bulloch,2000,27152,26109,1043,3.8
13,33,Burke,2000,9131,8673,458,5.0
13,35,Butts,2000,9026,8615,411,4.6
13,37,Calhoun,2000,2346,2194,152,6.5
13,39,Camden,2000,17712,17072,640,3.6
13,43,Candler,2000,3966,3783,183,4.6
13,45,Carroll,2000,44637,42986,1651,3.7
13,47,Catoosa,2000,29536,28749,787,2.7
13,49,Charlton,2000,3929,3769,160,4.1
13,51,Chatham,2000,111047,107100,3947,3.6
13,53,Chattahoochee,2000,2619,2406,213,8.1
13,55,Chattooga,2000,11576,11142,434,3.7
13,57,Cherokee,2000,82374,80258,2116,2.6
13,59,Clarke,2000,53962,52126,1836,3.4
13,61,Clay,2000,1335,1262,73,5.5
13,63,Clayton,2000,125561,121368,4193,3.3
13,65,Clinch,2000,2752,2605,147,5.3
13,67,Cobb,2000,358689,348740,9949,2.8
13,69,Coffee,2000,17071,16286,785,4.6
13,71,Colquitt,2000,19258,18373,885,4.6
13,73,Columbia,2000,46982,45623,1359,2.9
13,75,Cook,2000,7225,6898,327,4.5
13,77,Coweta,2000,48441,46854,1587,3.3
13,79,Crawford,2000,5841,5610,231,4.0
13,81,Crisp,2000,9682,9232,450,4.6
13,83,Dade,2000,7668,7439,229,3.0
13,85,Dawson,2000,8980,8739,241,2.7
13,87,Decatur,2000,12239,11691,548,4.5
13,89,DeKalb,2000,379055,366653,12402,3.3
13,91,Dodge,2000,8464,8064,400,4.7
13,93,Dooly,2000,4770,4543,227,4.8
13,95,Dougherty,2000,41285,39144,2141,5.2
13,97,Douglas,2000,51166,49661,1505,2.9
13,99,Early,2000,5329,5064,265,5.0
13,101,Echols,2000,1848,1785,63,3.4
13,103,Effingham,2000,18917,18325,592,3.1
13,105,Elbert,2000,9663,9159,504,5.2
13,107,Emanuel,2000,9883,9327,556,5.6
13,109,Evans,2000,4668,4467,201,4.3
13,111,Fannin,2000,9027,8677,350,3.9
13,113,Fayette,2000,49508,48201,1307,2.6
13,115,Floyd,2000,44476,42788,1688,3.8
13,117,Forsyth,2000,56976,55615,1361,2.4
13,119,Franklin,2000,9887,9502,385,3.9
13,121,Fulton,2000,427776,413133,14643,3.4
13,123,Gilmer,2000,11247,10876,371,3.3
13,125,Glascock,2000,1184,1136,48,4.1
13,127,Glynn,2000,34626,33414,1212,3.5
13,129,Gordon,2000,24190,23380,810,3.3
13,131,Grady,2000,10948,10465,483,4.4
13,133,Greene,2000,6340,6061,279,4.4
13,135,Gwinnett,2000,344558,335186,9372,2.7
13,137,Habersham,2000,18275,17639,636,3.5
13,139,Hall,2000,73188,71036,2152,2.9
13,141,Hancock,2000,3257,3003,254,7.8
13,143,Haralson,2000,12334,11898,436,3.5
13,145,Harris,2000,12842,12441,401,3.1
13,147,Hart,2000,11314,10867,447,4.0
13,149,Heard,2000,5099,4898,201,3.9
13,151,Henry,2000,67159,65374,1785,2.7
13,153,Houston,2000,53336,51537,1799,3.4
13,155,Irwin,2000,4516,4308,208,4.6
13,157,Jackson,2000,21251,20581,670,3.2
13,159,Jasper,2000,5748,5564,184,3.2
13,161,Jeff Davis,2000,5755,5491,264,4.6
13,163,Jefferson,2000,6729,6282,447,6.6
13,165,Jenkins,2000,3707,3513,194,5.2
13,167,Johnson,2000,3383,3180,203,6.0
13,169,Jones,2000,11731,11282,449,3.8
13,171,Lamar,2000,8006,7650,356,4.4
13,173,Lanier,2000,3317,3155,162,4.9
13,175,Laurens,2000,21297,20335,962,4.5
13,177,Lee,2000,13081,12637,444,3.4
13,179,Liberty,2000,19522,18503,1019,5.2
13,181,Lincoln,2000,3751,3538,213,5.7
13,183,Long,2000,4297,4142,155,3.6
13,185,Lowndes,2000,43232,41319,1913,4.4
13,187,Lumpkin,2000,10854,10535,319,2.9
13,189,McDuffie,2000,9851,9419,432,4.4
13,191,McIntosh,2000,4866,4659,207,4.3
13,193,Macon,2000,5390,5035,355,6.6
13,195,Madison,2000,13734,13291,443,3.2
13,197,Marion,2000,3305,3175,130,3.9
13,199,Meriwether,2000,10082,9628,454,4.5
13,201,Miller,2000,3237,3104,133,4.1
13,205,Mitchell,2000,9859,9357,502,5.1
13,207,Monroe,2000,11295,10880,415,3.7
13,209,Montgomery,2000,3898,3676,222,5.7
13,211,Morgan,2000,8132,7855,277,3.4
13,213,Murray,2000,19512,18860,652,3.3
13,215,Muscogee,2000,83224,79319,3905,4.7
13,217,Newton,2000,32130,31090,1040,3.2
13,219,Oconee,2000,14270,13908,362,2.5
13,221,Oglethorpe,2000,6594,6395,199,3.0
13,223,Paulding,2000,45527,44320,1207,2.7
13,225,Peach,2000,10756,10270,486,4.5
13,227,Pickens,2000,12420,12049,371,3.0
13,229,Pierce,2000,7600,7296,304,4.0
13,231,Pike,2000,6946,6692,254,3.7
13,233,Polk,2000,17500,16788,712,4.1
13,235,Pulaski,2000,4348,4172,176,4.0
13,237,Putnam,2000,8999,8683,316,3.5
13,239,Quitman,2000,1035,970,65,6.3
13,241,Rabun,2000,7234,7004,230,3.2
13,243,Randolph,2000,2988,2812,176,5.9
13,245,Richmond,2000,86749,82949,3800,4.4
13,247,Rockdale,2000,36702,35571,1131,3.1
13,249,Schley,2000,1707,1637,70,4.1
13,251,Screven,2000,6565,6246,319,4.9
13,253,Seminole,2000,3987,3791,196,4.9
13,255,Spalding,2000,27970,26775,1195,4.3
13,257,Stephens,2000,13146,12674,472,3.6
13,259,Stewart,2000,2075,1963,112,5.4
13,261,Sumter,2000,15245,14618,627,4.1
13,263,Talbot,2000,2834,2681,153,5.4
13,265,Taliaferro,2000,844,801,43,5.1
13,267,Tattnall,2000,8802,8298,504,5.7
13,269,Taylor,2000,3390,3212,178,5.3
13,271,Telfair,2000,4403,4064,339,7.7
13,273,Terrell,2000,4631,4388,243,5.2
13,275,Thomas,2000,19739,18914,825,4.2
13,277,Tift,2000,18813,18042,771,4.1
13,279,Toombs,2000,12175,11382,793,6.5
13,281,Towns,2000,4229,4048,181,4.3
13,283,Treutlen,2000,2619,2416,203,7.8
13,285,Troup,2000,29926,28854,1072,3.6
13,287,Turner,2000,4344,4104,240,5.5
13,289,Twiggs,2000,4575,4374,201,4.4
13,291,Union,2000,8060,7744,316,3.9
13,293,Upson,2000,12735,12094,641,5.0
13,295,Walker,2000,30270,29206,1064,3.5
13,297,Walton,2000,32341,31339,1002,3.1
13,299,Ware,2000,15136,14378,758,5.0
13,301,Warren,2000,2628,2484,144,5.5
13,303,Washington,2000,8525,8124,401,4.7
13,305,Wayne,2000,11295,10740,555,4.9
13,307,Webster,2000,1064,1024,40,3.8
13,309,Wheeler,2000,2294,2152,142,6.2
13,311,White,2000,10769,10393,376,3.5
13,313,Whitfield,2000,43422,41904,1518,3.5
13,315,Wilcox,2000,3236,3084,152,4.7
13,317,Wilkes,2000,5015,4783,232,4.6
13,319,Wilkinson,2000,4488,4297,191,4.3
13,321,Worth,2000,10240,9795,445,4.3
15,1,Hawaii,2000,73809,70108,3701,5.0
15,3,Honolulu/city,2000,430500,412780,17720,4.1
15,7,Kauai,2000,30202,28745,1457,4.8
15,9,Maui,2000,70883,68103,2780,3.9
16,1,Ada,2000,170264,164533,5731,3.4
16,3,Adams,2000,1923,1731,192,10.0
16,5,Bannock,2000,38255,36484,1771,4.6
16,7,Bear Lake,2000,2952,2808,144,4.9
16,9,Benewah,2000,4010,3568,442,11.0
16,11,Bingham,2000,19724,18860,864,4.4
16,13,Blaine,2000,11824,11405,419,3.5
16,15,Boise,2000,3425,3257,168,4.9
16,17,Bonner,2000,17648,16292,1356,7.7
16,19,Bonneville,2000,41505,40094,1411,3.4
16,21,Boundary,2000,4203,3879,324,7.7
