Office,State,RaceDate,CensusPop,Area,RepVotes,RepCandidate,RepStatus,DemVotes,DemCandidate,DemStatus,ThirdParty,ThirdVotes,ThirdCandidate,ThirdStatus,OtherVotes,PluralityVotes,PluralityParty,ThirdVotesTotalPercent,RepVotesMajorPercent,DemVotesMajorPercent,RaceNotes,TitleNotes,OtherNotes
Governor,Kentucky,19991109,N/A,ADAIR,663,"Martin, Peppy",Challenger,"1,441","Patton, Paul E.",Incumbent,RF,194,"Galbraith, Gatewood",Challenger,3,778,D,8.43,31.51,68.49,,,
Governor,Kentucky,19991109,N/A,ALLEN,339,"Martin, Peppy",Challenger,741,"Patton, Paul E.",Incumbent,RF,97,"Galbraith, Gatewood",Challenger,5,402,D,8.21,31.39,68.61,,,
Governor,Kentucky,19991109,N/A,ANDERSON,496,"Martin, Peppy",Challenger,"1,961","Patton, Paul E.",Incumbent,RF,826,"Galbraith, Gatewood",Challenger,39,"1,135",D,24.86,20.19,79.81,,,
Governor,Kentucky,19991109,N/A,BALLARD,99,"Martin, Peppy",Challenger,"1,230","Patton, Paul E.",Incumbent,RF,138,"Galbraith, Gatewood",Challenger,13,"1,092",D,9.32,7.45,92.55,,,
Governor,Kentucky,19991109,N/A,BARREN,598,"Martin, Peppy",Challenger,"2,616","Patton, Paul E.",Incumbent,RF,204,"Galbraith, Gatewood",Challenger,36,"2,018",D,5.91,18.61,81.39,,,
Governor,Kentucky,19991109,N/A,BATH,197,"Martin, Peppy",Challenger,682,"Patton, Paul E.",Incumbent,RF,356,"Galbraith, Gatewood",Challenger,9,326,D,28.62,22.41,77.59,,,
Governor,Kentucky,19991109,N/A,BELL,"2,059","Martin, Peppy",Challenger,"2,208","Patton, Paul E.",Incumbent,RF,540,"Galbraith, Gatewood",Challenger,65,149,D,11.08,48.25,51.75,,,
Governor,Kentucky,19991109,N/A,BOONE,"2,495","Martin, Peppy",Challenger,"5,149","Patton, Paul E.",Incumbent,RF,813,"Galbraith, Gatewood",Challenger,90,"2,654",D,9.51,32.64,67.36,,,
Governor,Kentucky,19991109,N/A,BOURBON,370,"Martin, Peppy",Challenger,"1,311","Patton, Paul E.",Incumbent,RF,866,"Galbraith, Gatewood",Challenger,34,445,D,33.55,22.01,77.99,,,
Governor,Kentucky,19991109,N/A,BOYD,"1,287","Martin, Peppy",Challenger,"4,665","Patton, Paul E.",Incumbent,RF,798,"Galbraith, Gatewood",Challenger,189,"3,378",D,11.50,21.62,78.38,,,
Governor,Kentucky,19991109,N/A,BOYLE,693,"Martin, Peppy",Challenger,"3,334","Patton, Paul E.",Incumbent,RF,937,"Galbraith, Gatewood",Challenger,64,"2,397",D,18.64,17.21,82.79,,,
Governor,Kentucky,19991109,N/A,BRACKEN,221,"Martin, Peppy",Challenger,539,"Patton, Paul E.",Incumbent,RF,118,"Galbraith, Gatewood",Challenger,7,318,D,13.33,29.08,70.92,,,
Governor,Kentucky,19991109,N/A,BREATHITT,388,"Martin, Peppy",Challenger,836,"Patton, Paul E.",Incumbent,RF,359,"Galbraith, Gatewood",Challenger,3,448,D,22.64,31.70,68.30,,,
Governor,Kentucky,19991109,N/A,BRECKINRIDGE,679,"Martin, Peppy",Challenger,"1,748","Patton, Paul E.",Incumbent,RF,267,"Galbraith, Gatewood",Challenger,23,"1,069",D,9.83,27.98,72.02,,,
Governor,Kentucky,19991109,N/A,BULLITT,"1,573","Martin, Peppy",Challenger,"4,554","Patton, Paul E.",Incumbent,RF,"1,141","Galbraith, Gatewood",Challenger,108,"2,981",D,15.47,25.67,74.33,,,
