Office,State,RaceDate,CensusPop,Area,RepVotes,RepCandidate,RepStatus,DemVotes,DemCandidate,DemStatus,ThirdParty,ThirdVotes,ThirdCandidate,ThirdStatus,OtherVotes,PluralityVotes,PluralityParty,ThirdVotesTotalPercent,RepVotesMajorPercent,DemVotesMajorPercent,RaceNotes,TitleNotes,OtherNotes
Senate,Arizona,19881108,N/A,APACHE,"3,318","DeGreen, Keith",Challenger,"10,871","DeConcini, Dennis",Incumbent,N/A,N/A,N/A,N/A,413,"7,553",D,0,23.38,76.62,,,
Senate,Arizona,19881108,N/A,COCHISE,"8,604","DeGreen, Keith",Challenger,"19,002","DeConcini, Dennis",Incumbent,N/A,N/A,N/A,N/A,732,"10,398",D,0,31.17,68.83,,,
Senate,Arizona,19881108,N/A,COCONINO,"9,644","DeGreen, Keith",Challenger,"21,203","DeConcini, Dennis",Incumbent,N/A,N/A,N/A,N/A,"1,251","11,559",D,0,31.26,68.74,,,
Senate,Arizona,19881108,N/A,GILA,"5,327","DeGreen, Keith",Challenger,"9,770","DeConcini, Dennis",Incumbent,N/A,N/A,N/A,N/A,389,"4,443",D,0,35.29,64.71,,,
Senate,Arizona,19881108,N/A,GRAHAM,"3,084","DeGreen, Keith",Challenger,"5,603","DeConcini, Dennis",Incumbent,N/A,N/A,N/A,N/A,144,"2,519",D,0,35.5,64.5,,,
Senate,Arizona,19881108,N/A,GREENLEE,796,"DeGreen, Keith",Challenger,"2,551","DeConcini, Dennis",Incumbent,N/A,N/A,N/A,N/A,40,"1,755",D,0,23.78,76.22,,,
Senate,Arizona,19881108,N/A,LA PAZ,"2,017","DeGreen, Keith",Challenger,"2,292","DeConcini, Dennis",Incumbent,N/A,N/A,N/A,N/A,104,275,D,0,46.81,53.19,,,
Senate,Arizona,19881108,N/A,MARICOPA,"319,561","DeGreen, Keith",Challenger,"340,814","DeConcini, Dennis",Incumbent,N/A,N/A,N/A,N/A,"14,499","21,253",D,0,48.39,51.61,,,
Senate,Arizona,19881108,N/A,MOHAVE,"12,657","DeGreen, Keith",Challenger,"15,142","DeConcini, Dennis",Incumbent,N/A,N/A,N/A,N/A,670,"2,485",D,0,45.53,54.47,,,
Senate,Arizona,19881108,N/A,NAVAJO,"7,043","DeGreen, Keith",Challenger,"12,439","DeConcini, Dennis",Incumbent,N/A,N/A,N/A,N/A,395,"5,396",D,0,36.15,63.85,,,
Senate,Arizona,19881108,N/A,PIMA,"64,220","DeGreen, Keith",Challenger,"163,100","DeConcini, Dennis",Incumbent,N/A,N/A,N/A,N/A,"5,073","98,880",D,0,28.25,71.75,,,
Senate,Arizona,19881108,N/A,PINAL,"9,906","DeGreen, Keith",Challenger,"19,082","DeConcini, Dennis",Incumbent,N/A,N/A,N/A,N/A,640,"9,176",D,0,34.17,65.83,,,
