Office,State,RaceDate,CensusPop,Area,RepVotes,RepCandidate,RepStatus,DemVotes,DemCandidate,DemStatus,ThirdParty,ThirdVotes,ThirdCandidate,ThirdStatus,OtherVotes,PluralityVotes,PluralityParty,ThirdVotesTotalPercent,RepVotesMajorPercent,DemVotesMajorPercent,RaceNotes,TitleNotes,OtherNotes
Governor,Kentucky,1979,N/A,ADAIR,"3,569","Nunn, Louie B.",Challenger,"2,421","Brown, J. Y. Jr.",Challenger,N/A,N/A,N/A,N/A,N/A,"1,148",R,0,59.58,40.42,,,
Governor,Kentucky,1979,N/A,ALLEN,"2,512","Nunn, Louie B.",Challenger,"1,990","Brown, J. Y. Jr.",Challenger,N/A,N/A,N/A,N/A,N/A,522,R,0,55.8,44.2,,,
Governor,Kentucky,1979,N/A,ANDERSON,"1,634","Nunn, Louie B.",Challenger,"2,412","Brown, J. Y. Jr.",Challenger,N/A,N/A,N/A,N/A,N/A,778,D,0,40.39,59.61,,,
Governor,Kentucky,1979,N/A,BALLARD,598,"Nunn, Louie B.",Challenger,"1,999","Brown, J. Y. Jr.",Challenger,N/A,N/A,N/A,N/A,N/A,"1,401",D,0,23.03,76.97,,,
Governor,Kentucky,1979,N/A,BARREN,"5,498","Nunn, Louie B.",Challenger,"4,521","Brown, J. Y. Jr.",Challenger,N/A,N/A,N/A,N/A,N/A,977,R,0,54.88,45.12,,,
Governor,Kentucky,1979,N/A,BATH,820,"Nunn, Louie B.",Challenger,"2,210","Brown, J. Y. Jr.",Challenger,N/A,N/A,N/A,N/A,N/A,"1,390",D,0,27.06,72.94,,,
Governor,Kentucky,1979,N/A,BELL,"3,799","Nunn, Louie B.",Challenger,"5,092","Brown, J. Y. Jr.",Challenger,N/A,N/A,N/A,N/A,N/A,"1,293",D,0,42.73,57.27,,,
Governor,Kentucky,1979,N/A,BOONE,"3,809","Nunn, Louie B.",Challenger,"4,928","Brown, J. Y. Jr.",Challenger,N/A,N/A,N/A,N/A,N/A,"1,119",D,0,43.6,56.4,,,
Governor,Kentucky,1979,N/A,BOURBON,"1,301","Nunn, Louie B.",Challenger,"3,189","Brown, J. Y. Jr.",Challenger,N/A,N/A,N/A,N/A,N/A,"1,888",D,0,28.98,71.02,,,
Governor,Kentucky,1979,N/A,BOYD,"6,279","Nunn, Louie B.",Challenger,"10,418","Brown, J. Y. Jr.",Challenger,N/A,N/A,N/A,N/A,N/A,"4,139",D,0,37.61,62.39,,,
